wellName,wellAPI,boreID,compSubId,Type,X,Y,TD,isHorizontal,reservoir,faultBlock,compartment,maxBHP,long,lat
Well003,2ECFC835EB,00,00,Producer,20643.66806,33140.13893,7434.38344,0,Red,,,0,21.22751324,-33.14892407
Well016,2ECFC83752,00,00,Producer,17598.02244,25743.67261,7152.2312,0,Red,,,0,21.21755273,-33.16925109
Well018,2ECFC83766,00,00,Producer,17858.96296,24796.06819,7345.80076,0,Red,,,0,21.21840611,-33.1718553
Well019,2ECFC83770,00,00,Producer,15513.18456,23705.31676,7964.2391,0,Red,,,0,21.21073446,-33.17485291
Well025,2ECFC837AC,00,00,Producer,13579.18218,25719.1653,7509.84276,0,Bisque,,,0,21.20440948,-33.16931844
Well035,2ECFC83806,00,00,Producer,16002.89913,22277.52448,7486.87688,0,Red,,,0,21.21233603,-33.17877677
Well037,2ECFC8381A,00,00,Producer,14828.36887,27654.01645,7368.76664,0,Red,,,0,21.20849483,-33.16400107
Well041,2ECFC83838,00,00,Producer,17262.87558,21363.12735,7457.34932,0,Red,,,0,21.21645666,-33.18128973
Well042,2ECFC83842,00,00,Producer,14279.85967,22813.76313,7642.060612,0,Red,,,0,21.20670098,-33.17730308
Well043,2ECFC8384C,00,00,Producer,13589.42753,27188.98009,7542.65116,0,Red,,,0,21.20444299,-33.16527908
Well045,2ECFC83857,00,00,Producer,13240.75389,32042.23933,7529.5278,0,Rock,,,0,21.20330268,-33.15194133
Well047,2ECFC8386A,00,00,Producer,16816.2156,18550.57652,7708.33358,0,Red,,,0,21.2149959,-33.1890192
Well048,2ECFC83874,00,00,Producer,12356.34802,22353.99139,7926.50944,0,Red,,,0,21.20041031,-33.17856663
Well054,2ECFC8389D,00,00,Producer,18821.8345,20959.57384,7375.32832,0,Red,,,0,21.2215551,-33.18239877
Well065,2ECFC83914,00,00,Producer,12828.20523,20773.56038,7890.4202,0,Red,,,0,21.20195348,-33.18290998
Well070,2ECFC8393C,00,00,Producer,17570.9686,19825.07941,8041.33884,0,Red,,,0,21.21746426,-33.1855166
Well073,2ECFC83950,00,00,Producer,14207.52885,21255.24729,7777.23122,0,Red,,,0,21.20646443,-33.1815862
Well081,2ECFC839A0,00,00,Producer,22860.85423,22849.91157,7148.95036,0,Red,,,0,21.23476434,-33.17720374
Well082,2ECFC839AA,00,00,Producer,25820.83767,20896.42343,7942.91364,0,Red,,,0,21.2444447,-33.18257232
Well084,2ECFC839BE,00,00,Producer,11188.09989,20776.99784,8251.3126,0,Red,,,0,21.19658966,-33.18290053
Well089,2ECFC839DD,00,00,Producer,19293.48258,19636.78092,7619.7509,0,Maine,,,0,21.22309758,-33.18603408
Well090,2ECFC839E6,00,00,Producer,21331.13703,18907.93733,7516.40444,0,Red,,,0,21.22976154,-33.18803709
Well098,2ECFC83A22,00,00,Producer,14843.9899,32160.22168,8282.48058,0,Maine,,,0,21.20854592,-33.15161709
Well100,2ECFC83A36,00,00,Producer,12653.1681,28259.98422,7621.39132,0,Red,,,0,21.20138104,-33.16233574
Well102,2ECFC83A4A,00,00,Producer,21960.0481,24368.54694,6998.03172,0,Red,,,0,21.23181834,-33.17303021
