Year,Month,wellAPI,boreID,compSubId,BHP,Qo,Qw,Qg,Qs,CompL,FlowDays,Pressure,Status
2016,11,2ECFC835EB,00,00,0,10.06369,160.390069,0,0,54.13386,30,0,1
2016,12,2ECFC835EB,00,00,0,10.06369,209.45056,0,0,54.13386,31,0,1
2017,1,2ECFC835EB,00,00,0,10.06369,193.097064,0,0,54.13386,31,0,1
2017,2,2ECFC835EB,00,00,0,11.950632,223.288136,0,0,54.13386,28,0,1
2017,3,2ECFC835EB,00,00,0,12.579613,226.433035,0,0,54.13386,31,0,1
2017,4,2ECFC835EB,00,00,0,12.579613,222.03017,0,0,54.13386,30,0,1
2017,5,2ECFC835EB,00,00,0,23.272284,106.926712,0,0,54.13386,31,0,1
2017,6,2ECFC835EB,00,00,0,27.675149,103.781812,0,0,54.13386,30,0,1
2017,7,2ECFC835EB,00,00,0,28.30413,102.523848,0,0,54.13386,31,0,1
2017,8,2ECFC835EB,00,00,0,27.675149,101.265886,0,0,54.13386,31,0,1
2017,9,2ECFC835EB,00,00,14.7,27.675149,101.265885,0,0,54.13386,30,0,1
2017,10,2ECFC835EB,00,00,0,23.272284,183.033372,0,0,54.13386,31,0,1
2017,11,2ECFC835EB,00,00,0,18.86942,258.511053,0,0,54.13386,30,0,1
2017,12,2ECFC835EB,00,00,0,19.4984,293.733962,0,0,54.13386,31,0,1
2018,1,2ECFC835EB,00,00,0,20.756362,333.98873,0,0,54.13386,31,0,1
2018,2,2ECFC835EB,00,00,0,22.014323,383.04922,0,0,54.13386,28,0,1
2018,3,2ECFC835EB,00,00,0,20.127381,370.469608,0,0,54.13386,31,0,1
2018,4,2ECFC835EB,00,00,0,22.014323,386.194124,4.237759,0,54.13386,30,0,1
2018,5,2ECFC835EB,00,00,0,22.014323,379.904317,4.237759,0,54.13386,31,0,1
2018,6,2ECFC835EB,00,00,0,22.014323,378.646346,4.237759,0,54.13386,30,0,1
2018,7,2ECFC835EB,00,00,0,22.014323,377.388408,4.237759,0,54.13386,31,0,1
2018,8,2ECFC835EB,00,00,0,22.014323,364.808779,4.237759,0,54.13386,31,0,1
2018,9,2ECFC835EB,00,00,0,22.014323,382.420256,4.237759,0,54.13386,30,0,1
2018,10,2ECFC835EB,00,00,0,20.127381,362.921855,4.237759,0,54.13386,31,0,1
2018,11,2ECFC835EB,00,00,0,20.127381,375.501457,4.237759,0,54.13386,30,0,1
2018,12,2ECFC835EB,00,00,0,19.4984,369.840623,4.237759,0,54.13386,31,0,1
2005,3,2ECFC83752,00,00,0,9.540217,419.769513,0,0,68.509729,28.999973,0,1
2005,4,2ECFC83752,00,00,0,0.928795,212.694009,0,0,68.509729,12.99999,0,1
2005,6,2ECFC83752,00,00,0,0,15.347128,0,0,52.49344,6,0,1
2005,7,2ECFC83752,00,00,0,0,28.669344,0,0,68.509729,8.999982,0,1
2005,8,2ECFC83752,00,00,0,0,35.506973,0,0,68.509729,9.99998,0,1
2005,9,2ECFC83752,00,00,0,0,327.111879,0,0,68.509729,28.99998,0,1
2005,10,2ECFC83752,00,00,0,0,7.223133,0,0,52.49344,3.999992,0,1
2008,9,2ECFC83766,00,00,0,18.238342,231.438273,0,0,109.90814,28.99998,0,1
2008,10,2ECFC83766,00,00,0,22.107656,251.39563,14.185754,0,109.90814,31,0,1
2008,11,2ECFC83766,00,00,0,22.083511,253.644893,14.170261,0,109.90814,30,0,1
2008,12,2ECFC83766,00,00,0,19.437532,226.771201,14.55116,0,109.90814,27.999975,0,1
2009,1,2ECFC83766,00,00,0,21.896643,208.330917,14.050353,0,109.90814,31,0,1
2009,2,2ECFC83766,00,00,0,23.088082,101.972364,14.403338,0,109.90814,28,0,1
2009,3,2ECFC83766,00,00,0,19.644486,99.489819,14.231698,0,109.90814,31,0,1
2009,4,2ECFC83766,00,00,0,15.634362,92.555426,0,0,109.90814,30,0,1
2009,5,2ECFC83766,00,00,0,18.492031,105.40458,13.843347,0,109.90814,31,0,1
2009,6,2ECFC83766,00,00,0,16.156417,111.852116,0,0,109.90814,30,0,1
2009,7,2ECFC83766,00,00,0,14.868292,111.835408,0,0,109.90814,31,0,1
2009,8,2ECFC83766,00,00,0,14.839886,116.138237,0,0,109.90814,31,0,1
2009,9,2ECFC83766,00,00,0,15.27794,114.916681,14.918142,0,109.90814,30,0,1
2009,10,2ECFC83766,00,00,0,15.783357,95.962808,0,0,109.90814,31,0,1
2009,11,2ECFC83766,00,00,0,15.776932,95.923746,14.172951,0,109.90814,30,0,1
2009,12,2ECFC83766,00,00,0,15.661618,97.7285,0,0,109.90814,29.999971,0,1
2010,1,2ECFC83766,00,00,0,16.069442,104.451371,13.880503,0,109.90814,29.999971,0,1
2010,2,2ECFC83766,00,00,0,13.754459,87.908939,0,0,109.90814,28,0,1
2010,3,2ECFC83766,00,00,0,12.472078,91.243097,0,0,109.90814,31,0,1
2010,4,2ECFC83766,00,00,0,5.224733,37.879312,0,0,109.90814,12,0,1
2010,5,2ECFC83766,00,00,0,14.133804,120.444594,0,0,109.90814,29.999971,0,1
2010,6,2ECFC83766,00,00,0,15.29052,148.251565,0,0,109.90814,30,0,1
2010,7,2ECFC83766,00,00,0,5.204308,102.134539,0,0,109.90814,31,0,1
2010,8,2ECFC83766,00,00,0,5.234742,106.657874,0,0,109.90814,31,0,1
2010,9,2ECFC83766,00,00,0,4.719452,85.624335,0,0,109.90814,28.99998,0,1
2010,10,2ECFC83766,00,00,0,4.776195,89.383079,0,0,109.90814,31,0,1
2010,11,2ECFC83766,00,00,0,9.183118,84.484681,0,0,109.90814,30,0,1
2010,12,2ECFC83766,00,00,0,10.574991,91.2093,0,0,109.90814,31,0,1
2011,1,2ECFC83766,00,00,0,11.319623,83.407747,0,0,109.90814,31,0,1
2011,2,2ECFC83766,00,00,0,12.215703,94.510963,0,0,109.90814,28,0,1
2011,3,2ECFC83766,00,00,0,9.124278,81.510211,0,0,109.90814,31,0,1
2011,4,2ECFC83766,00,00,0,7.832906,81.592767,0,0,109.90814,27,0,1
2011,5,2ECFC83766,00,00,0,9.39413,84.547174,0,0,109.90814,31,0,1
2011,6,2ECFC83766,00,00,0,9.321493,80.397881,0,0,109.90814,30,0,1
2011,7,2ECFC83766,00,00,0,9.241958,80.867128,0,0,109.90814,31,0,1
2011,8,2ECFC83766,00,00,0,7.712114,77.76382,0,0,109.90814,25.999979,0,1
2011,9,2ECFC83766,00,00,0,8.631712,91.249519,0,0,109.90814,27.99999,0,1
2011,10,2ECFC83766,00,00,0,8.878772,95.129705,0,0,109.90814,31,0,1
2011,11,2ECFC83766,00,00,0,8.398988,88.512417,0,0,109.90814,30,0,1
2011,12,2ECFC83766,00,00,0,8.401964,88.543776,0,0,109.90814,31,0,1
2012,1,2ECFC83766,00,00,0,9.077612,84.940504,0,0,109.90814,31,0,1
2012,2,2ECFC83766,00,00,0,10.501808,85.983556,0,0,109.90814,29,0,1
2012,3,2ECFC83766,00,00,0,10.700787,84.937499,0,0,109.90814,31,0,1
2012,4,2ECFC83766,00,00,0,10.426403,83.411222,0,0,109.90814,28.99998,0,1
2012,5,2ECFC83766,00,00,0,2.77766,24.304524,0,0,109.90814,7.999984,0,1
2012,6,2ECFC83766,00,00,0,10.560585,87.784863,0,0,109.90814,30,0,1
2012,7,2ECFC83766,00,00,0,10.524267,84.851901,0,0,109.90814,31,0,1
2012,8,2ECFC83766,00,00,0,10.274703,75.13377,0,0,109.90814,31,0,1
2012,9,2ECFC83766,00,00,0,9.963053,71.609446,0,0,109.90814,28.99998,0,1
2012,10,2ECFC83766,00,00,0,9.881083,69.78515,0,0,109.90814,31,0,1
2012,11,2ECFC83766,00,00,0,9.870803,69.712548,0,0,109.90814,30,0,1
2012,12,2ECFC83766,00,00,0,2.48143,18.610726,0,0,109.90814,6.999986,0,1
2013,4,2ECFC83766,00,00,0,3.075715,22.145151,0,0,109.90814,9.99999,0,1
2013,5,2ECFC83766,00,00,0,9.392102,65.157704,0,0,109.90814,31,0,1
2013,6,2ECFC83766,00,00,0,9.514381,68.979259,0,0,109.90814,30,0,1
2013,7,2ECFC83766,00,00,0,9.783693,72.766217,0,0,109.90814,31,0,1
2013,8,2ECFC83766,00,00,0,9.739055,73.651605,0,0,109.90814,29.999971,0,1
2013,9,2ECFC83766,00,00,0,9.96515,79.098381,0,0,109.90814,30,0,1
2013,10,2ECFC83766,00,00,0,9.990648,81.798427,0,0,109.90814,31,0,1
2013,11,2ECFC83766,00,00,0,10.231419,83.769739,0,0,109.90814,30,0,1
2013,12,2ECFC83766,00,00,0,10.096154,80.769232,0,0,109.90814,29.999971,0,1
2014,1,2ECFC83766,00,00,0,9.899344,76.719918,0,0,109.90814,29.999971,0,1
2014,2,2ECFC83766,00,00,0,9.881736,80.906709,0,0,109.90814,26.99998,0,1
2014,3,2ECFC83766,00,00,0,9.909489,82.372627,13.90942,0,109.90814,31,0,1
